dimension;identifier;name_eng;desc_eng;synonyms_eng;name_swe;desc_swe;synonyms_swe
Tillgångssystem;1;Space systems;functional systems creating space;;Utrymmesskapande system;funktionellt system som skapar utrymme;
Tillgångssystem;1A;Ground system;space system on ground;Ground, courtyard, lawn, road embankment;Mark- och grundsystem;utrymmesskapande system på eller i mark;
Tillgångssystem;1AB;DummyAB;;;DummyAB;;
Tillgångssystem;1ABA;Subgrade;ground system which supports construction entities;bank, terrace;Undergrund;marksystem som utgör underlag för byggnadsverk;bank, terrass
Tillgångssystem;1AC;DummyAC;;;DummyAC;;
Tillgångssystem;1ACA;Foundation;ground system which terminates a construction entity downwards;foundation, slab on the ground, foundation walls;Grundläggning;mark- och grundsystem som avslutar ett byggnadsverk neråt;grund, platta på mark, grundmurar
Tillgångssystem;1AD;DummyAD;;;DummyAD;;
Tillgångssystem;1ADA;Road facility;ground system for ground based traffic;;Väganläggning;marksystem för markburen trafik;
Tillgångssystem;1ADB;Carriageway;traffic facility for driveway and potentially road shoulders, parking lane, and bicycle path;roadway, street;Vägbana;väganläggning för körbana och eventuella vägrenar, uppställningsfält och cykelfält;bussgata, bussväg, entréväg, flerfältsväg, gata, gårdsgata, motorväg, tvåfältsväg
Tillgångssystem;1ADD;Foot and/or bicycle path;traffic facility for pedestarian and/or bicycle traffic;walkway, bike path;Gång- och/eller cykelbana;väganläggning för gång- och/eller cykeltrafik;gångbana, cykelbana
Tillgångssystem;1AE;Superstructure for side area;ground system for traffic separation and safety;;Överbyggnad för sidoområde;marksystem för trafikseparation och säkerhet;
Tillgångssystem;1AF;Ground area;ground system for other primäry activites than traffic;;Överbyggnad för plan;marksystem för annan primär verksamhet än trafik;
Tillgångssystem;1AG;DummyAG;;;DummyAG;;
Tillgångssystem;1AGA;Vegetation area;ground system for vegetation;park space;Vegetationsyta;marksystem för vegetation;naturyta, parkyta, grönyta
Tillgångssystem;1AGB;Planting area;vegetation area for planting;shrubbery;Planteringsyta;vegetationsöverbyggnad för plantering;buskyta
Tillgångssystem;1AGC;Grass area;vegetation area for grass;lawn;Gräsyta;vegetationsöverbyggnad för gräs;
Tillgångssystem;1AH;Water facility;ground system for water management;;Vattenanläggning;marksystem för hantering av vatten;
Tillgångssystem;1AHB;Reservoir;water facility for storage;Delay system, water reservoir;Damm;vattenanläggning för lagring;Fördröjningsanläggning, vattenmagasin, vattenreservoar
Tillgångssystem;1AHC;Waterway;water facility for open guiding;Channel;Vattenväg;vattenanläggning för öppen ledning;Kanal
Tillgångssystem;1AHD;Infiltration;water facility for guiding into ground;;Infiltrationsanläggning;vattenanläggning för ledning in i mark;
Tillgångssystem;1AHE;Water tunnel;water facility for sealed guiding in ground;;Vattentunnel;vattenanläggning för sluten ledning i mark;
Tillgångssystem;1AJ;Railroad facility;ground system for rail based traffic;Track substructure;Spåranläggning;marksystem för spårburen trafik;Banunderbyggnad
Tillgångssystem;1B;Building structure;Space system which forms space;;Byggnadskonstruktion;utrymmesskapande system som formar och avskiljer utrymmen;
Tillgångssystem;1BB;Slab system;Building structure which forms and separates space horizontally;Floor, ground floor roofing;Bjälklagskonstruktion;byggnadskonstruktion för horisontellt bärverk;bjälklag, lastkaj, mellanbjälklag, vindsbjälklag, utskjutande bjälklag, ytterbjälklag
Tillgångssystem;1BBB;Bottom slab system;slab system under the bottom storey in a building;;Bottenbjälklag;bjälklagskonstruktion under det lägsta våningsplanet i en byggnad;
Tillgångssystem;1BBC;Mid slab system;slab system between stories in a building;floor joists;Mellanbjälklag;bjälklagskonstruktion mellan våningsplan i en byggnad;våningsbjälklag
Tillgångssystem;1BBD;Top slab system;slab system above the top storey in a building;Upper floor, top floor;Vindsbjälklag;bjälklagskonstruktion över det högsta våningsplanet i en byggnad;Övrebjälklag, toppbjälklag
Tillgångssystem;1BBE;Balcony slab system;slab system protruding from a building;balcony, exterior corridor, docking station;Utskjutande bjälklag;bjälklagskonstruktion som skjuter ut från byggnad;Balkongbjälklag, Loftgångsbjälklag Svalgångsbjälklag, 
Tillgångssystem;1BC;Wall system;Building structure which separates and/or supports space vertically;Wall, facade, dam wall;Väggkonstruktion;byggnadskonstruktion som vertikal avskiljare och/eller ger stöd;frontmur, skärning, spont, stödmur, bergvägg, kulvertvägg, terrängmur, dammvägg, yttervägg, innervägg
Tillgångssystem;1BCB;Exterior wall system;wall system above ground towards the outside of a construction entity;;Yttervägg;väggkonstruktion över mark mot utsidan av byggnadsverk;
Tillgångssystem;1BCC;Interior wall system;wall system between spaces in a building entity;;Innervägg;väggkonstruktion mellan utrymmen i byggnadsverk;
Tillgångssystem;1BCD;Ground wall system;wall system towards ground;;Vägg mot mark;väggkonstruktion mot mark;
Tillgångssystem;1BCE;Terrain wall system;wall system on ground;;Terrängmur;väggkonstruktion fristående på mark;
Tillgångssystem;1BCF;Water wall system;wall system towards water;;Vattenvägg;väggkonstruktion mot vatten;
Tillgångssystem;1BD;Roof system;Building structure which terminates a construction entity upwards;Roof, roofing;Takkonstruktion;byggnadskonstruktionsom avslutar ett byggnadsverk uppåt;yttertak, skärmtak
Tillgångssystem;1C;Bridge structure;functional system which forms space horizontally across underlying obstacles;;Brokonstruktion;utrymmesskapande system som bildar utrymme över underliggande hinder;
Tillgångssystem;1CB;Fixed bridge structure;bridge structure with fixed deck;;Fast brokonstruktion;brokonstruktion med fast brobana;
Tillgångssystem;1CC;Movable bridge structure;bridge structure with moveable deck;Folding bridge;Öppningsbar brokonstruktion;brokonstruktion med rörlig brobana;
Tillgångssystem;1D;Tunnel structure;functional system which forms space in ground or in water;;Tunnelkonstruktion;utrymmesskapande system som bildar utrymme i mark eller i vatten;
Tillgångssystem;1DB;Rock tunnel structure;tunnel structure with natural rock structure;;Bergtunnelkonstruktion;tunnelkonstruktion med naturligt bärverk i berg;bergrum
Tillgångssystem;1DBB;Tunnel bottom;rock tunnel structure which finish the tunnel downwards;;Tunnelbotten;Bergtunnelkonstruktion som avslutar tunnel neråt;Bergtunnelbotten
Tillgångssystem;1DBC;Tunnel wall;rock tunnel structure which give support vertically;;Tunnelvägg;Bergtunnelkonstruktion som vertikal avskiljare och/eller ger stöd;
Tillgångssystem;1DBD;Tunnel ceiling;rock tunnel structure which finish the tunnel upwards;;Tunneltak;Bergtunnelkonstruktion som avslutar tunnel uppåt;
Tillgångssystem;1DC;Concrete tunnel structure;tunnel structurewith fabricated strukture in ground or water;;Betongtunnelkonstruktion;tunnelkonstruktion med konstuerat bärverk i mark eller vatten;Sänktunnel
Tillgångssystem;1DCB;Tunnel bottom;concrete tunnel structure which finish the tunnel downwards;;Tunnelbotten;Betongtunnelkonstruktion som avslutar tunnel neråt;Betongtunnelbotten
Tillgångssystem;1DCC;Tunnel wall;concrete tunnel structure which give support vertically;;Tunnelvägg;Betongtunnelkonstruktion som vertikal avskiljare och/eller ger stöd;Betongtunnelvägg
Tillgångssystem;1DCD;Tunnel ceiling;concrete tunnel structure which finish the tunnel upwards;;Tunneltak;Betongtunnelkonstruktion som avslutar tunnel uppåt;
Tillgångssystem;2;Installation systems;functional systems providing services ;;Installationssystem;funktionellt system som tillhandahåller tjänster;
Tillgångssystem;2E;Gas and air system;installation system which supplies technical gases or technical air;Equipment for gas and air, gas, air;Gas- och luftsystem;installationssystem som tillför tekniska gaser eller teknisk luft;
Tillgångssystem;2EB;Gas system;gas system;;Gassystem;gassystem;
Tillgångssystem;2EC;Air system;air system;;Luftsystem;luftsystem;
Tillgångssystem;2ECB;Compressed air system;air system for compressed air;;Tryckluftssystem;luftsystem för trycksatt luft;
Tillgångssystem;2ECC;Pure air system;air system for purified air;;Renluftssystem;luftsystem för renad luft;
Tillgångssystem;2F;Water and fluid system;installation system which supplies domestic water, technical water or other liquid;Water, liquid;Vatten- och vätskesystem;installationssystem som tillför dricksvatten, tekniskt vatten eller annan vätska;
Tillgångssystem;2FC;Purified water system;water system for water suited for use;Tap water;Renvattensystem;vattensystem för vatten tjänligt för mänskligt bruk;Tappvatten
Tillgångssystem;2FCB;Tap cold water system;purified water system for non-heated water;drinking water;Tappkallvattensystem;renvattensystem för ej uppvärmt vatten;dricksvatten
Tillgångssystem;2FCC;Tap hot water system;purified water system for heated water;;Tappvarmvattensystem;renvattensystem för uppvärmt vatten;
Tillgångssystem;2FG;Irrigation system;water system for irrigation;;Bevattningssystem;vattensystem för bevattning;
Tillgångssystem;2FH;DummyFH;;;DummyFH;;
Tillgångssystem;2FHA;Groundwater system;water system for infiltration into soil;Infiltration water system;Grundvattensystem;vattensystem för infiltration i mark;Infiltrationsvattensystem
Tillgångssystem;2G;Drainage and waste system;installation system which discharges liquid or disposes of waste;Drainage, waste;Avlopps- och avfallssystem;installationssystem som avlägsnar vätska eller avfall;
Tillgångssystem;2GB;DummyGB;;;DummyGB;;
Tillgångssystem;2GBA;Polluted water system;drainage and waste system for water containing unwanted substances or objects;Drainage system;Förorenat vattensystem;avloppssystem för vatten som innehåller oönskade ämnen eller föremål;Avloppssystem
Tillgångssystem;2GBB;Wastewater system;polluted water system from facility, potenitally hazardous;Sewage water system;Spillvattensystem;förorenat vattensystem från byggnadsverk, potentiellt hälsovådligt;Svartvattensystem
Tillgångssystem;2GBC;Process wastewater system;polluted water system from processes;Process sewage water system;Processpillvattensystem;förorenat vattensystem från process, potentiellt hälsovådligt;
Tillgångssystem;2GBD;Grey water system;polluted water system from facilities, non-hazardous;;Gråvattensystem;förorenat vattensystem från byggnadsverk eller process, icke hälsovådligt;BDT-vattensystem
Tillgångssystem;2GBE;Traffic wastewater system;polluted water system from traffic area;Tunnel drainage system;Trafikavloppssystem;förorenat vattensystem från trafikeringsyta;Tunnelavloppssystem
Tillgångssystem;2GC;DummyGC;;;DummyGC;;
Tillgångssystem;2GCA;Surplus water system;drainage and waste system for surplus water;;Överskottsvattensystem;avloppssystem för överflödigt vatten;
Tillgångssystem;2GCB;Surface runoff system;surplus water system for ground surface water;;Dagvattensystem;överskottsvattensystem på markyta;
Tillgångssystem;2GCC;Drainage water system;surplus water system for ground sub-surface water;;Dränvattensystem;överskottsvattensystem i mark;
Tillgångssystem;2GE;DummyGE;;;DummyGE;;
Tillgångssystem;2GEA;Combined wastewater system;drainage and waste system for polluted water and surplus water;;Kombinerat avloppssystem;avloppssystem för förorenat vatten och överskottsvatten;Samförlagda VA-system
Tillgångssystem;2GEB;Combined wastewater, surface runoff and drainage water system;combined wastewater system for wastewater, surface runoff water, and drainage water;;Kombinerat spill-, dag- och dränvattensystem;kombinerat avloppsvattensystem för spill-, dag- och dränvatten;
Tillgångssystem;2GEC;Combined wastewater and drainage water system;combined wastewater system for wastewater and drainage water;;Kombinerat spill- och dagvattensystem;kombinerat avloppsvattensystem för spill- och dränvatten;
Tillgångssystem;2GF;Waste system;waste system for rest product or something lacking value and thus being discarded;waste management system;Avfallshanteringssystem;avfallssystem för restprodukt eller annat som bedömts sakna värde och som därför har kasserats;sophanteringssystem
Tillgångssystem;2GFB;Food waste system;waste system from food production or cooking;;Matavfallshanteringssystem;avfallshanteringssystem från matproduktion eller matlagning;
Tillgångssystem;2GFC;Sewage sludge system;waste system for sewage sludge;;Slamhanteringssystem;avfallshanteringssystem för slam;
Tillgångssystem;2GG;Vacuum cleaning system;waste system for small particles by suction;;Centraldammsugningssystem;avfallssystem för småpartiklar genom sugning;
Tillgångssystem;2GH;Laundry system;drainage and waste system for dirty textiles;;Tvätthanteringssystem;avfallssystem för smutsiga textilier;
Tillgångssystem;2H;Cooling and heating system;installation system which supplies cooling and heating;Heating, chilling;Kyl- och värmesystem;installationssystem som tillför kylning och värmning;
Tillgångssystem;2HB;DummyHB;;;DummyHB;;
Tillgångssystem;2HBA;Space cooling and heating system;cooling and heating systems for spaces;ground heating, underfloor heating, radiators;Utrymmeskyl- och värmesystem;kyl- och värmesystem för utrymme;markvärme, golvvärme, radiatorer
Tillgångssystem;2HBB;Space cooling;cooling system for interior space;;Utrymmeskylsystem;kylsystem för utrymme;
Tillgångssystem;2HBC;Space heating;heating system for interior space;;Utrymmesvärmesystem;värmesystem för utrymme;
Tillgångssystem;2HC;DummyHC;;;DummyHC;;
Tillgångssystem;2HCA;Equipment cooling and heating systems;cooling and heating systems for equipment;;Utrustningskyl- och värmesystem;kyl- och värmesystem för utrustning;
Tillgångssystem;2HCB;Equipment cooling;cooling system for equipment;;Utrustningskylsystem;kylsystem för utrustning;
Tillgångssystem;2HCC;Equipment heating;heating system for equipment;Train and locomotive heating system, Gear heating system;Utrustningsvärmesystem;värmesystem för utrustning;Tåg- och lokvärmeanläggning, Växelvärmningssystem
Tillgångssystem;2HE;DummyHE;;;DummyHE;;
Tillgångssystem;2HEA;District cooling and heating system;cooling and heating systems for remote distribution;;Fjärrkyl- och värmesystem;kyl- och värmesystem för fjärrdistribution;
Tillgångssystem;2HEB;District cooling system;cooling system for long-distance distribution;;Fjärrkylesystem;kylsystem för fjärrdistribution;
Tillgångssystem;2HEC;District heating system;heating system for long-distance distribution;;Fjärrvärmesystem;värmesystem för fjärrdistribution;
Tillgångssystem;2J;Ventilation system;installation system which supplies air exchange;Ventilation;Luftbehandlingssystem;installationssystem som växlar och/eller anpassar kvaliteten på luft;Ventilationssystem
Tillgångssystem;2JB;DummyJB;;;DummyJB;;
Tillgångssystem;2JBA;General ventilation system;ventilation system in order to deal with air contaminants from human beings, building materials, furnishings, etc.;;Allmänventilationssystem;luftbehandlingssystem för att omhänderta luftföroreningar från människor, byggmaterial, inventarier o.d.;
Tillgångssystem;2JC;Special ventilation system;ventilation system for special condiitions;;Specialventilationssystem;luftbehandlingssystem för visst utrymme;
Tillgångssystem;2JCB;Technical space ventilation system;special ventilation system in space for technical systems;Operating room ventilation;Teknikutrymmesventilation;specialventilationssystem i teknikutrymme;Driftutrymmesventilation
Tillgångssystem;2JCC;Tunnel ventilation system;special ventilation system in tunnel;;Tunnelventilationssystem;specialventilationssystem i tunnel;
Tillgångssystem;2JCD;Treatment space ventilation system;special ventilation system in treatment space;;Renrumsventilation;specialventilationssystem med högfiltrerad luft;Behandlingsrumsventilation
Tillgångssystem;2JCE;Shelter room ventilation system;special ventilation system for shelter room;;Skyddsrumsventilationssystem;specialventilationssystem i utrymme enligt lag om skyddsrum;
Tillgångssystem;2JE;DummyJE;;;DummyJE;;
Tillgångssystem;2JEA;Emergency ventilation system;ventilation system activated by unwanted levels of pollution;;Nödventilationssystem;luftbehandlingssystem som aktiveras vid oönskade nivåer av luftföroreningar;Brandventilation, nödluftssystem
Tillgångssystem;2K;Electrical system;installation system which supplies electrical energy;Electricity production plant, power supply system, electrical system, routing system;Elkraftssystem;installationssystem som tillför elektrisk energi;
Tillgångssystem;2KB;General electrical system;electrical system for operation and activities in building;;Allmänt elkraftssystem;elkraftsystem för drift och aktivitet;Lågspänning, 1000 V/400 V/240 V anläggningar i byggnad samt för väg- och linjeobjekt
Tillgångssystem;2KBB;Primary electrival system for general use;general electrical system for regular use;;Primärt elkraftssystem för allmänt bruk;allmänt elkraftsystem för reguljär drift;
Tillgångssystem;2KBC;Emergency power system for general use;general electrical system for temporary substitution of primary system;Diesel generator;Reserv- och nödkraftssystem för allmänt bruk;allmänt elkraftsystem för tillfällig ersättning av primärt system;Dieselgenerator
Tillgångssystem;2KBD;Uninterrupted power system for general use;general electrical system for continuous operation during distrurbed external source;UPS general, UPS low voltage;Avbrottsfri elkraftssystem för allmänt bruk;allmänt elkraftsystem för kontinuerlig drift under störd extern tillförsel;UPS allmän, UPS lågspänning
Tillgångssystem;2KBM;Low voltage distribution;electric power system for distribution of low voltage;;Fördelning lågspänning;elkraftsystem för fördelning av lågspänning;Lågspänningställverk inom anl.komlex K
Tillgångssystem;2KBN;Electric power for installations;electric power system for supply of low voltage to installations;;Elkraft för installationer;elkraftsystem för försörjning av lågspänning till installationer;(tillämpas inom Väg), allmän kraft
Tillgångssystem;2KC;Electrical system for civil engineering works;electrical system for operation and activities in civil engineering works;;Elkraftssystem för anläggning;elkraftsystem för drift av anläggning;22 kV/ 11 kV/ 6.3 kV anläggningar för anläggningsdrift
Tillgångssystem;2KCB;Primary electrival system for civil engineering works;electrical system for civil engineering works for regular use;Auxiliary power;Primär elkraftssystem för anläggning;elkraftsystem för anläggning för reguljär drift;Hjälpkraft
Tillgångssystem;2KCC;Emergency power system for civil engineering works;emergency electrical system for civil engineering works;;Reserv- och nödkraftssystem för anläggning;elkraftsystem för anläggning för tillfällig ersättning av ordinarie system;
Tillgångssystem;2KCD;Uninterrupted power system for civil engineering works;electrical system for civil engineering works for continuous operation during distrurbed external source;UPS facility;Avbrottsfri elkraftssystem för anläggning;elkraftsystem för anläggning för kontinuerlig drift under störd extern tillförsel;UPS anläggning
Tillgångssystem;2KCL;Transforming electric power for plant operation;electric power system for transformation of electric power for plant operation;;Transformering elkraft för anläggningsdrift;elkraftsystem för transformering av elkraft för anläggningsdrift;hjälpkraftstranformatorsystem Tillämpad inom anl.komlex K
Tillgångssystem;2KCM;Distribution of electricity for plant operation;electric power system for distribution of electric power for plant operation;;Fördelning elkraft för anläggningsdrift;elkraftsystem för fördelning av elkraft för anläggningsdrift;Elkraftställverk för anläggningsdrift. Tillämpad inom anl.komlex K
Tillgångssystem;2KD;Electrical system for processes;electrical system for process operation;;Elkraftssystem för processdrift;elkraftsystem för drift av industriell process;132 kV/32 kV 16 2/3 Hz försörjande system
Tillgångssystem;2KDB;Primary electrival system for processes;electrical system for processes for regular use;Supply line;Primär elkraftssystem för processdrift;elkraftsystem för processdrift för reguljär drift;Matarledning
Tillgångssystem;2KDC;Emergency power system for processes;electrical system for processes for temporary substitution of primary system;;Reserv- och nödkraftssystem för processdrift;elkraftsystem för processdrift för tillfällig ersättning av ordinarie system;
Tillgångssystem;2KDD;Uninterrupted power system for processes;electrical system for processes for continuous operation during distrurbed external source;;Avbrottsfri elkraftssystem för processdrift;elkraftsystem för processdrift för kontinuerlig drift under störd extern tillförsel;
Tillgångssystem;2KDL;Transforming electric power for process operation;electric power system for transforming electric power for process operation;;Transformering elkraft för processdrift;elkraftsystem för transformering av elkraft för processdrift;Tillämpad inom anl.komlex K
Tillgångssystem;2KDM;Distribution of electric power for process operation;electric power system for distribution of electric power for process operation;;Fördelning elkraft för processdrift;elkraftsystem för fördelning av elkraft för processdrift;Elkraftställverk för processdrift. Tillämpad inom anl.komlex K
Tillgångssystem;2KE;Electrical system for vehicles;electrical system for vehicle operation;15 kV vehicle supply, Overhead line system;Elkraftssystem för fordonsdrift;elkraftsystem för drift av fordon;15 kV fordonsmatning, Kontaktledningssystem
Tillgångssystem;2KEB;Primary electrival system for vehicles;electrical system for vehicles for regular use;15 kV vehicle supply, Overhead line system;Primär elkraftssystem för fordonsdrift;elkraftsystem för fordonsdrift för reguljär drift;15 kV fordonsmatning, Kontaktledningssystem
Tillgångssystem;2KEC;Emergency power system for vehicles;electrical system for vehicles for temporary substitution of primary system;;Reserv- och nödkraftssystem för fordonsdrift;elkraftsystem för fordonsdrift för tillfällig ersättning av ordinarie system;
Tillgångssystem;2KEM;Distribution of electric power for vehicle operation;electric power system for distribution of electric power for vehicle operation;;Fördelning elkraft för fordonsdrift;elkraftsystem för fördelning av elkraft för fordonsdrift;Elkraftställverk för fordonsdrift. Tillämpad inom anl.komlex K
Tillgångssystem;2KEN;Transmission of electric power for vehicle operation;Electric power system for transmission of electric power for vehicle operation by overhead line;AT conductor, bypass, reinforcement line, return conductor;Överföring av elkraft för fordonsdrift;Elkraftsystem för överförning av elkraft för fordonsdrift genom friledning;AT-ledare, förbiledning, förstärkningslina, återledare
Tillgångssystem;2KL;Electric power system for transformation;electric power system for conversion of electric power;;Elkraftssystem för omformning;elkraftsystem för  omformning av elkraft;Tillämpad inom anl.komlex K
Tillgångssystem;2KLB;Frequency conversion;electric power system for frequency conversion of electric power for vehicle operation;;Frekvensomformning;elkraftsystem för frekvensomformning av elkraft för fordonsdrift;Tillämpad inom anl.komlex K
Tillgångssystem;2KLC;Electric filter system;Electric power filter system for filtering electric power;;Elkraftsfiltersystem;Elkraftsfiltersystem för filtrering av elkraft;Tillämpad inom anl.komlex K
Tillgångssystem;2KLD;Uninterruptible power supply system for conversion;electric power system for conversion for continuous operation under disturbed external supply;;Avbrottsfri elkraftsystem för omformning;elkraftsystem för omformning för kontinuerlig drift under störd extern tillförsel;Tillämpad inom anl.komlex K
Tillgångssystem;2KLL;Transforming electric power for transformation;electric power system for transformation of electric power during transformation;;Transformering elkraft för omformning;elkraftsystem för transformering av elkraft vid omformning;Tillämpad inom anl.komlex K
Tillgångssystem;2L;Automation system;installation system which controls, adjusts and monitors technical systems in a context;Control system, monitoring system, alarm system, BMS system, texting system, traffic control system;Automationssystem;installationssystem som övervakar och/eller styr och reglerar tekniska system;Alarmsystem, kontrollsystem, styr- och övervakningssystem,  övervakningssystem, SCADA, SÖ-system
Tillgångssystem;2LB;Facility automation system;automation system for buildings;BMS, SCADA;Fastighetsautomationssystem;automationssystem för byggnad;BMS, SCADA
Tillgångssystem;2LBB;Superordinate facility automation system;facility automation system for controlling one or more multifunctional facility automation systems;;Överordnat fastighetsautomationssystem;fastighetsautomationssystem för styrning av ett eller flera flerfunktionella automationssystem;
Tillgångssystem;2LBC;Multifunctional facility automation system;facility automation system for several processes;Local control system, local autonomous control system;Flerfunktionellt fastighetsautomationssystem;fastighetsautomationssystem för flera processer;Lokalt styrsystem, lokalt autonomt styrsystem
Tillgångssystem;2LC;Civil engineering works control system;automation system for civil engineering works;;Anläggnings- och driftledningssystem;automationssystem för anläggning;
Tillgångssystem;2LCB;Superordinate civil engineering works control system;civil engineering works control system for controlling several local civil engineering works control systems;;Överordnat styr- och övervakningssystem  för anläggning;anläggnings- och driftledningssystem för styrning av ett eller flera lokala anläggnings- och driftledningssystem;GELD, NTS/ LAIV (ledning anläggning information väg), NSÖ, ÖVB, NAVA, regionalt överordnat
Tillgångssystem;2LCC;Local civil engineering works control system;local civil engineering works control system;;Lokalt styr- och övervakningssystem  för anläggning;lokalt anläggnings- och driftledningssystem;SCADA, PCMS, ASÖ, ASÖ-AÖ (PCMS, ASÖ tunnelövergripnde säkerhetsfunktioner som bl.a. belysning säker utrymning och tunnelventilation), lokalt överordnat
Tillgångssystem;2LD;Traffic control system;automation system for traffic facility;;Trafikledningssystem;automationssystem för trafikanläggning;
Tillgångssystem;2LDB;Superordinate traffic control system;traffic control system for controlling one or more local traffic acontrol system;MCS, (Motorway Control System);Överordnat trafikledningssystem;trafikledningssystem för styrning av ett eller flera lokala trafikledningssystem;MCS, (Motorway Control System)
Tillgångssystem;2LDC;Local traffic control system;local traffic control system;UMS (UMS Information Marking System), TUS (TUS - Traffic Equipment System), Signalgear System;Lokalt trafikledningssystem;lokalt trafikledningssystem och/eller lokalt trafikstyrningssystem;UMS (UMS-Upplysningsmärkesystem), TUS (TUS - Trafikutrustningsystem), Signalställverkssystem
Tillgångssystem;2LE;Monitoring system for weather and environment;automation system for environmental and weather monitoring  ;;Övervakningssystem för väder och miljö;automationssystem för väder och miljö;
Tillgångssystem;2LEB;Weather monitoring system;weather monitoring system;Automated Weather Observing System, AWOS;Väderövervakningssystem;väderövervakningssystem;AWOS, VViS, väderinformation, vädervarningssystem, vägväderinformationssystem
Tillgångssystem;2LEC;Wind warning system;weather monitoring system for wind;;Vindvarningssystem;väderövervakningssystem för vind;
Tillgångssystem;2LED;Ice warning system;weather monitoring system for ice;;Isvarningssystem;väderövervakningssystem för is;
Tillgångssystem;2LEE;Environmental monitoring system;environmental monitoring system;;Miljömätningssystem;miljöövervakningssystem;
Tillgångssystem;2LF;Monitoring system for data network;automation system for monitoring data network;;Övervakningssystem för datanätverk;automationssystem för datanätverk;
Tillgångssystem;2LFB;Hardware monitoring system;data network monitoring system for hardware;;Övervakningssystem för hårdvara;övervakningssystem för datanätverk för hårdvara;
Tillgångssystem;2LFC;Data traffic monitoring system;data network monitoring system for data traffic;;Övervakningssystem för datatrafik;övervakningssystem för datanätverk för hårdvara;
Tillgångssystem;2LG;Monitoring system for media transport network;automation system for monitoring media transport network;district heating monitoring;Övervakningssystem för mediatransportnät;automationssystem för mediatransportnät;fjärrvärmeövervakning
Tillgångssystem;2LJ;Payment system;automation system for monitoring financial transaction;congestion tax system, parking meters;Betalsystem;automationssystem för ekonomiska transaktioner;trängselskattsystem, parkeringsautomater
Tillgångssystem;2LK;Automation system for process installations;automation system for industrial processes;;Automationssystem för processinstallationer;automationssystem för industriella processer;
Tillgångssystem;2M;Information and communication system;installation system which provides communications between persons or technical systems;Communication equipment, IT systems, IT equipment, ICT system;Informations- och kommunikationssystem;installationssystem som omberörjer kommunikation mellan personer eller tekniska system;Bokningssystem, IT-system, kommunikationssystem, telesystem, varningssystem
Tillgångssystem;2MB;DummyMB;;;DummyMB;;
Tillgångssystem;2MBA;Data network;communication system for data traffic;local area network, LAN;Datanätverk;kommunikationssystem för datatrafik;lokalt nätverk, LAN
Tillgångssystem;2MC;DummyMC;;;DummyMC;;
Tillgångssystem;2MCA;Personal communication system;information and communication system between human beings;;Personkommunikationssystem;informations- och kommunikationssystem för människor;
Tillgångssystem;2MCB;Telephone system;personal communication system for double direction communication;emergency telephone system, conference system, emergency telephone system, intercom system, intercom, telephone system, telecommunication system;Telefonisystem;personkommunikationssystem för dubbelriktad kommunikation;hjälptelefonsystem, konferenssystem, nödtelefonsystem, porttelefonsystem, snabbtelefon, telefonsystem, telesystem
Tillgångssystem;2MCC;Message system;personal communication system for single direction communication;Sound system, PA system, acoustic and visual communication;Meddelandesystem;personkommunikationssystem för enkelriktad kommunikation;Ljudsystem, PA-system, akustisk och visuell kommunikation
Tillgångssystem;2MD;Signalling system;information and communication system for signalling;;Signalerande system;informations- och kommunikationssystem för avgivande av signal;
Tillgångssystem;2MDC;Emergency signalling system;signalling system for acute need for assistance;Noise alarm, security alarm, assault alarm;Nödsignalssystem;signalsystem för akut behov av assistans;Bråklarm, trygghetslarm, överfallslarm
Tillgångssystem;2MDJ;Time signal system;signalling system for time;Timing system;Tidsignalsystem;signalsystem för tid;Tidgivningssystem
Tillgångssystem;2ME;DummyME;;;DummyME;;
Tillgångssystem;2MEA;Wireless communication network;Wireless information and communication system between systems and / or people;Radio system, 3G, 4G, 5G;Trådlöst kommunikationsnätverk;Trådlöst informations- och kommunikationssystem mellan system och/eller människor;Radiosystem, 3G, 4G, 5G
Tillgångssystem;2N;Transportation system;installation system which transports goods or persons;Transport system, transport, lift, goods lift, escalator, elevator;Transportsystem;installationssystem som transporterar gods eller personer;Hissar, rulltrappor, transportband
Tillgångssystem;2NB;DummyNB;;;DummyNB;;
Tillgångssystem;2NBA;Person transportation system;transportation system for persons;;Persontransportsystem;transportsystem för personer;Hissanläggning, trappsystem
Tillgångssystem;2NC;Goods transportation system;transportation system for goods;;Godstransportsystem;transportsystem för gods;Transportband
Tillgångssystem;2P;Security and safety system;installation system which protects any object from danger and damage;Sprinkler, fire fighting, intrusion control, emergency lighting, fire ventilation, perimeter security;Säkerhets- och skyddssystem;installationssystem som skyddar mot fara och skada;sprinkler, tillträdeshinder, 
Tillgångssystem;2PB;DummyPB;;;DummyPB;;
Tillgångssystem;2PBA;Fire safety system;security and safety system against fire;automatic fire door, emergency doors, smoke curtain, escape doors;Brandsäkerhetssystem;säkerhets- och skyddssystem mot brand;branddörrsautomatik, nöddörrar rökgardin, utrymningsdörrar
Tillgångssystem;2PBB;Fire monitoring system;fire safety system for detection and warning of fire;Fire alarm system;Brandövervakningssystem;brandsäkerhetssystem som detekterar och varnar för brand;Brandlarmsystem
Tillgångssystem;2PBC;Firefighting system;fire safety system for extinguishing fire;Fire extinguishing system;Brandbekämpningssystem ;brandsäkerhetssystem som släcker brand;Brandsläckningssystem
Tillgångssystem;2PC;DummyPC;;;DummyPC;;
