dimension;identifier;name_eng;desc_eng;synonyms_eng;name_swe;desc_swe;synonyms_swe
Grundfunktioner och Komponenter;U;holding object;object for positioning of other objects;;Hållande objekt;objekt för positionering av andra objekt;
Grundfunktioner och Komponenter;UA;positioning object;holding object by fixing at a defined position;;Positionerande objekt;hållande objekt genom stöd vid en bestämd position;
Grundfunktioner och Komponenter;UAA;light fixture;fixing object for light source;luminaire;Belysningsarmatur;positionerande objekt för ljuskällor;armatur, armaturränna, lampa, ljusarmatur
Grundfunktioner och Komponenter;UAB;cable gland;fixing object for cable;cable access, cable entry;Kabelgenomföring;positionerande objekt för kablar;
Grundfunktioner och Komponenter;UAC;insulator;fixing object for conductor;tension insulator, stay insulator;Isolator;positionerande objekt för ledare;spännisolator, stagisolator
Grundfunktioner och Komponenter;UAD;stringer;fixing object for tread;flange, stair stringer;Vangstycke;positionerande objekt för trappsteg;
Grundfunktioner och Komponenter;UAE;batten;fixing object for cover;support batten, stud, sparse panel, ridge board, plaster net, litter batten, support batten, support beam;Beklädnadsfäste;positionerande objekt för täckande objekt;bärläkt, dubb, glespanel, nockbräda, putsnät, ströläkt, stödläkt, stödbalk
Grundfunktioner och Komponenter;UAF;stake;fixing object for plant;espalier, lattice;Växtstöd;positionerande objekt för växt;pergola, spaljé, trädstöd
Grundfunktioner och Komponenter;UAG;rail gauge;fixing object for rail spacing;track gauge;Spårhållare;positionerande objekt för avstånd mellan räler;
Grundfunktioner och Komponenter;UAH;clamp;fixing object for tools or work pieces;chuck, lathe chuck, dog, jaw;Klämma;positionerande objekt för verktyg eller arbetsstycke;
Grundfunktioner och Komponenter;UAJ;bicycle stand;fixing object for vehicle;;Cykelställ;positionerande objekt för fordon;
Grundfunktioner och Komponenter;UAK;rail fastener;fixing object for track;;Befästning;positionerande objekt för räl;
Grundfunktioner och Komponenter;UB;carrying object;holding object by carrying;;Uppbärande objekt;hållande objekt genom uppbärning eller stöd;
Grundfunktioner och Komponenter;UBA;Support shelf;supporting objects between discrete positions;;Stödhylla;uppbärande objekt mellan diskreta positioner;
